"Fishing Day","Fish","Fishing Gear","Site","Species","Weight (kg)","Length (cm)","Scale taken (0=N, 1=Y)","Floy Tag . (0=N)","Recap Tag . (0=N)","Preserved for testing (0=N, 1=Y)","Mortality (0=N, 1=Y)","Genetics Testing . (0=N)","Notes"
3.00,226.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,227.00,2.00,"2",4.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,228.00,2.00,"2",4.00,0.01,6.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,229.00,2.00,"2",5.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,230.00,2.00,"2",3.00,0.04,1.30,"",0.00,0.00,0.00,0.00,0.00,""
3.00,231.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,232.00,2.00,"2",4.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,233.00,2.00,"2",4.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,234.00,2.00,"2",4.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,235.00,2.00,"2",5.00,0.01,4.30,"",0.00,0.00,0.00,0.00,0.00,""
3.00,236.00,2.00,"2",14.00,0.01,4.70,"",0.00,0.00,0.00,0.00,0.00,""
7.00,237.00,2.00,"2",4.00,0.01,7.50,"",0.00,0.00,0.00,0.00,0.00,"two fish assigned #467, this one reassigned to 237"
3.00,267.00,2.00,"2",5.00,0.01,6.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,268.00,2.00,"2",4.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,269.00,2.00,"2",5.00,0.01,6.00,"",0.00,0.00,0.00,0.00,0.00,""
3.00,270.00,2.00,"2",14.00,0.01,4.20,"",0.00,0.00,0.00,0.00,0.00,""
3.00,271.00,2.00,"2",5.00,0.01,5.30,"",0.00,0.00,0.00,0.00,0.00,""
3.00,272.00,2.00,"2",5.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,273.00,2.00,"2",5.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,274.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,275.00,2.00,"2",5.00,0.01,3.80,"",0.00,0.00,0.00,0.00,0.00,""
3.00,276.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
3.00,277.00,2.00,"2",5.00,0.01,5.30,"",0.00,0.00,0.00,0.00,0.00,""
3.00,278.00,2.00,"2",5.00,0.01,5.20,"",0.00,0.00,0.00,0.00,0.00,""
3.00,279.00,3.00,"3",6.00,1.18,46.50,"",257.00,0.00,0.00,0.00,0.00,""
3.00,280.00,3.00,"3",1.00,1.27,44.00,"",258.00,0.00,0.00,0.00,0.00,""
3.00,281.00,3.00,"3",6.00,0.68,37.00,"",260.00,0.00,0.00,0.00,0.00,""
3.00,282.00,3.00,"3",6.00,0.73,36.50,"",262.00,0.00,0.00,0.00,0.00,""
